Nymano	Bloomin'	FR
Sex Pistols	Bodies	GB
Justin Timberlake	"Can't Stop The Feeling! (Original Song From Dreamworks Animation's ""Trolls"")"	US
Example	Changed The Way You Kiss Me	GB
Sia	Clap Your Hands	AU
The Menzingers	Coal City Blues	US
Red Hot Chili Peppers	Dani California	US
Marcel Dettmann	Dawning	DE
The Gaslight Anthem	Even Cowgirls Get The Blues	US
Passenger	Fear of Fear	GB
Audioslave	Gasoline	US
Maroon 5	Girls Like You (feat. Cardi B)	US
Bush	Glycerine - Remastered	GB
Panic! at the Disco	High Hopes - Don Diablo Remix	US
Black Eyed Peas	I Gotta Feeling	US
Dustin Kensrue	I Knew You Before	US
The Mars Volta	Inertiatic ESP	US
Catfish and the Bottlemen	Kathleen	GB
Fugees	Killing Me Softly with His Song	US
The Presidents of the United States of America	Lump	US
Lagwagon	May 16 (Acoustic)	US
Bayside	Megan	US
Millencolin	No Cigar	SE
Weezer	Pork and Beans	US
Niall Horan	Slow Hands - Acoustic	IE
Dead to Me	Special Professional	US
Make Do and Mend	Stay In The Sun	US
Alkaline Trio	Take Lots With Alcohol	US
Lagwagon	The Cog in the Machine	US
Jimmy Eat World	The Middle	US
Chuck Ragan	The Trench	US
Disturbed	The Vengeful One	US
The Bravery	Unconditional	US
Biffy Clyro	Who's Got A Match?	GB
Charlotte de Witte	Wisdom	BE
Chuck Ragan	You And I Alone	US
King 810	.45	US
SHVPES	Counterfeit	GB
Sevendust	Dead Roses	US
Ocean Grove	Enigma	AU
The Plot in You	Fiction Religion	US
Lindemann	Fish On	DE
Adept	Forever And A Day	SE
Ocean Grove	From Dalight	AU
Sevendust	Nowhere	US
Our Last Night	Sunrise	US
Adept	The Toughest Kids	SE
Attila	Three6	US
Onslaught	Bomber	GB
Lamb of God	Cheated	US
Hatebreed	Defeatist	US
Testament	Electric Crown	US
Exodus	Hammer and Life	US
NOFX	Hobophobic (Scared of Bums)	US
NOFX	It's My Job to Keep Punk Rock Elite	US
Billy Joel	Piano Man	US
Grave Digger	Rebellion (The Clans Are Marching) - Remastered Version	DE
Children of Bodom	Sixpounder	FI
Born from Pain	Stop At Nothing	NL
The Alan Parsons Project	Ammonia Avenue	GB
Santana	Anywhere You Want To Go	US
Arctic Monkeys	Brianstorm	GB
Elton John	Candle In The Wind - Remastered 2014	GB
Jeff Buckley	Dream Brother (alternate take)	US
Johnny Hallyday	La Musique Que J'Aime	FR
The Offspring	Lightning Rod	US
The Stone Roses	Love Spreads	GB
Nekfeu	Menteur menteur	FR
The Comet Is Coming	Nano	GB
Deep Purple	Speed King - 1995 Remastered Version	GB
Explosions in the Sky	Time Stops	US
Richard Wright	Waves	GB
Caravan	Winter Wine	GB
Pantera	13 Steps to Nowhere	US
Tricky	6 Minutes	GB
Black Sabbath	Back Street Kids	GB
Deep Purple	Black Night	GB
Coal Chamber	Bradley	US
Fear Factory	Byte Block	US
Slayer	Consfearacy	US
Depeche Mode	Dangerous	GB
The Agonist	Dead Ocean	CA
Dethklok	Dethharmonic	US
Fear Factory	Digimortal	US
In Flames	Dismiss the Cynics	SE
System of a Down	Dreaming	US
Garbage	Drive You Home	US
Chimaira	End It All	US
Lacuna Coil	End of Time	IT
Black Sabbath	Eternal Idol	GB
Opeth	Faith in Others	SE
Sam Hulick	Farewell and Into the Inevitable	US
Jack Wall	Feros	US
Deftones	Fist	US
Rob Dougan	Furious Angels	AU
Pantera	Good Friends and a Bottle of Pills	US
Rammstein	Herzeleid	DE
Black Sabbath	Hot Line	GB
Tricky	How's Your Life	GB
Low Roar	I'll Keep Coming	IS
Slipknot	If Rain Is What You Want	US
Slayer	In The Name Of God	US
Children of Bodom	In Your Face	FI
Die Antwoord	In Your Face	ZA
Emilie Autumn	Is It My Body	US
Slipknot	Me Inside	US
The Black Dahlia Murder	Moonlight Equilibrium	US
Coal Chamber	One Step	US
Garbage	Only Happy When It Rains	US
Boards of Canada	Peacock Tail	GB
Dream Theater	Peruvian Skies	US
Type O Negative	Prelude to Agony	US
bôa	Rain	GB
Arch Enemy	Ravenous	SE
Dethklok	Rejoin	US
Dream Theater	Repentance	US
Opeth	Reverie/Harlequin Forest	SE
In This Moment	Sailing Away	US
Emilie Autumn	Save You	US
Slayer	Scrum	US
Rammstein	Sehnsucht	DE
Slayer	Seven Faces	US
Garbage	Silence Is Golden	US
Kittie	Spit	CA
Christopher Lennertz	Stand Strong, Stand Together	US
System of a Down	Suite-Pee	US
Sam Hulick	The Fate of the Galaxy	US
Led Zeppelin	The Lemon Song	GB
Rob Zombie	The Man Who Laughs	US
Jon Everist	The Rat King	US
Tori Amos	Toast	US
bôa	Twilight	GB
Nine Inch Nails	Underneath It All	US
Ayria	Underneath The Water	CA
Low Roar	Vampire On My Fridge	IS
Dimmu Borgir	Vredesbyrd	NO
Children of Bodom	War Inside My Head	FI
Arch Enemy	Warning	SE
Sam Hulick	We Fought As A United Galaxy	US
Tori Amos	What Child, Nowell	US
Tricky	What Is Wrong	GB
Arch Enemy	Wings of Tomorrow	SE
Slipknot	XIX	US
Rage Against the Machine	Year of tha Boomerang	US
Lunatic Calm	Your Future	GB
Tori Amos	i i e e e	US
Machinae Supremacy	All of My Angels	SE
Carpathian Forest	Ghoul	NO
Blood Stain Child	Metropolice	JP
Katatonia	Soil's Song	SE
Ulver	The Argument, Plate 2	NO
Darkthrone	As Flittermice As Satans Spys - Studio	NO
Silverchair	Black Tangled Heart	AU
Janelle Monáe	Crazy, Classic, Life	US
La Luz	Don't Leave Me on the Earth	US
Pyrrhon	Empty Tenement Spirit	US
Black Breath	Feast of the Damned	US
Cult Leader	Gutter Gods	US
Alice in Chains	Hate to Feel	US
Desert Sessions	If You Run	US
Roméo Elvis	J'ai vu	BE
Old Man Gloom	Jaws Of The Lion - Live	US
Machine Head	Kick You When You're Down	US
Gin Wigmore	Kill Of The Night	NZ
Goatsnake	Lord of Los Feliz	US
Tropical Fuck Storm	Maria 62	AU
Nirvana	Milk It	US
Ariana Grande	One Last Time	US
Witchcraft	Queen Of Bees	SE
Grimes	REALiTi	CA
Dan Romer	Sisters	US
Be Your Own Pet	Stairway To Heaven	US
Queens of the Stone Age	The Bronze (bonus track)	US
Cave In	The End Of Our Rope Is A Noose	US
Babyshambles	The Man Who Came To Stay	GB
Gnaw Their Tongues	The Uncomfortable Silence in Between Beatings	NL
Black Math Horseman	Torment of the Metals	US
Dreadnought	Vacant Sea	US
Foo Fighters	Virginia Moon	US
Le Butcherettes	little/MOUSE	MX
Jeremy Soule	From Past to Present	US
Danny Baranowsky	Grave Throbbing Shopkeeper	US
C418	Moog City	DE
Eluveitie	Aventia	CH
Tuomas Holopainen	Go Slowly Now, Sands Of Time	FI
Blue Öyster Cult	Heavy Metal: The Black and Silver	US
Alestorm	Man the Pumps for Dogs (Bonus Track)	GB
Summoning	Northward	AT
In Solitude	On Burning Paths	SE
Wytch Hazel	See My Demon	GB
Judas Priest	Delivering the Goods	GB
Amon Amarth	Free Will Sacrifice	SE
Peter Fox	Stadtaffe	DE
Dynamite MC	Bounce	GB
Disturbed	Divide	US
RADIO TAPOK	Feel Good Inc. (Gorillaz на русском)	RU
Die Ärzte	1/2 Lovesong	DE
Nightwish	A Return to the Sea	FI
Blind Guardian	Barbara Ann	DE
Saltatio Mortis	Drachentanz	DE
HammerFall	Glory to the Brave	SE
HammerFall	In Memoriam	SE
In Extremo	Lieb Vaterland, magst ruhig sein	DE
Schandmaul	Mittsommer	DE
Saltatio Mortis	My Bonnie Mary	DE
Saltatio Mortis	Schon wieder Herbst	DE
Eminem	8 Mile	US
Atreyu	Becoming the Bull	US
Edguy	Catch of the Century	DE
Die Ärzte	Du willst mich küssen	DE
Avantasia	Dweller In A Dream	DE
As I Lay Dying	Electric Eye	US
Icona Pop	Get Lost	SE
Steel Panther	Let Me Cum In	US
Eminem	Like Toy Soldiers	US
Light The Torch	Raise The Dead	US
Atreyu	Right Side of the Bed	US
Led Zeppelin	Rock and Roll - Remaster	GB
LANDMVRKS	Scars (feat. Florestan Durand)	FR
Kiss	Talk To Me	US
Killswitch Engage	This Fire	US
Steel Panther	Wasted Too Much Time	US
Flo Rida	Whistle	US
Farin Urlaub	wie ich den marilyn-manson-ähnlichkeitswettbewerb verlor	DE
The Sisters of Mercy	A Rock and a Hard Place	GB
Cabaret Voltaire	Blue Heat	GB
Front 242	Funkahdafi	BE
Coldplay	A Message	GB
Savage Garden	Affirmation	AU
Of Monsters and Men	Ahay	IS
Coldplay	Birds	GB
Commodores	Brick House	US
Kaleo	Broken Bones	IS
Metric	Dark Saturday	CA
Baroness	Eula	US
Coldplay	For You	GB
God Is An Astronaut	Forever Lost	IE
The xx	Islands	GB
Air	Le Voyage de Pénélope	FR
Pleasure	Let's Dance	US
Jungle	Mama Oh No	GB
Curtis Mayfield	Move On Up	US
Stardust	Music Sounds Better With You	FR
Ladyhawke	My Delirium	NZ
Lento	Need	IT
Chevelle	Panic Prone	US
Tool	Part of Me	US
Arcade Fire	Ready to Start	CA
Weedpecker	Rise Above	PL
PVRIS	St. Patrick	US
65daysofstatic	The Conspiracy of Seeds	GB
The Moth Gatherer	The Drone Kingdom	SE
Crowbar	Walk With Knowledge Wisely	US
Florence + the Machine	What Kind of Man	GB
Drake	Blem	CA
Frank Ocean	Ivy	US
Rufus Wainwright	The Art Teacher	CA
Four Tet	Two Thousand And Seventeen	GB
Souls of Mischief	93 'til Infinity	US
Kid Cudi	Brothers	US
$uicideboy$	Carrollton	US
Death Grips	Come Up and Get Me	US
Big Boi	Follow Us	US
Jid	Frequency Change	US
BROCKHAMPTON	HEAVEN BELONGS TO YOU	US
Kendrick Lamar	How Much a Dollar Cost	US
UGK	Int'l Players Anthem (I Choose You) (feat. Outkast)	US
Spoon	Jonathan Fisk	US
Dom Kennedy	MY TYPE OF PARTY	US
Flying Lotus	Never Catch Me	US
Mike Jones	Still Tippin' (feat. Slim Thug & Paul Wall)	US
The White Stripes	Stop Breaking Down	US
Three 6 Mafia	That's Right - Explicit Album Version	US
Clipse	Virginia	US
Jay Rock	Wow Freestyle (feat. Kendrick Lamar)	US
Against All Logic	You Are Going To Love Me And Scream	US
Sir	You Can't Save Me	US
TR/ST	Colossal	CA
The Flaming Lips	Do You Realize??	US
FaltyDL	Drugs	US
The Kills	Echo Home	GB
Rome	Feindberührung	LU
LFO	Freak	GB
Damaged Bug	Jet in Jungle	US
Orbital	Kinetic 2017	GB
Feed Me	Love Is All I Got	GB
Moby	Mere Anarchy - Edit	US
Godspeed You! Black Emperor	Mladic	CA
Mini Mansions	Monk	US
Kim Gordon	Murdered Out	US
farai	National Gangsters	GB
Floating Points	Nuits Sonores	GB
Trickski	Pill Collins	DE
Ministry	Revenge	US
Icarus	Running Away	GB
Electric Wizard	Satanic Rites of Drugula	GB
DJ Mehdi	Signatune - Thomas Bangalter Edit	FR
Hot Snakes	Six Wave Hold-Down	US
Telefon Tel Aviv	The Birds	US
Sevdaliza	The Language of Limbo	NL
Duran Duran	The Reflex	GB
Millionaire	Under A Bamboo Moon	BE
Gang Gang Dance	Vacuum	US
Blood Orange	Vulture Baby	GB
Grace Jones	Williams Blood	US
Ghostpoet	Woe Is Meee - Slowdive Remix	GB
Slint	breadcrumb trail - remastered	US
Ron Flatter	Apricot	DE
Being As An Ocean	Brave	US
Dub Fx	Colours	AU
Boris Brejcha	Gravity (feat. Laura Korinth) - Edit	DE
Genesis	Land Of Confusion - 2007 Digital Remaster	GB
Ron Flatter	Narcissus	DE
Deichkind	Oma Gib Handtasche	DE
Drangsal	Turmbau zu Babel	DE
Caravan Palace	Brotherswing	FR
Swing Republic	Crazy in Love - Electro Swing Version	DK
Pendulum	Crush	AU
Jack Off Jill	Love Song	US
Terrorgruppe	Mein Skateboard ist wichtiger als Deutschland	DE
Melanie Martinez	Nurse's Office	US
Leoniden	River	DE
Greta Van Fleet	Rolling In The Deep - Recorded At Spotify Studios NYC	US
Death in Vegas	Scorpio Rising	GB
She Wants Revenge	These Things	US
Run the Jewels	Call Ticketron	US
We Hunt Buffalo	21st Century Schizoid Man	CA
The Re-Stoned	A Companion from the Outside	RU
Machine Head	A Farewell to Arms	US
Black Label Society	All For You	US
Soundgarden	Applebite	US
A Pale Horse Named Death	Bad Dream	US
Mastodon	Bedazzled Fingernails	US
Paradise Lost	Beneath Broken Earth	GB
Tiamat	Cain	SE
Megadeth	Countdown To Extinction - Remastered/2012	US
A Pale Horse Named Death	Devil in the Closet	US
Metallica	Dirty Window	US
Queen	Don't Stop Me Now - ...Revisited	GB
Soundgarden	Drawing Flies	US
Novembers Doom	Empathy's Greed	US
rex brown	Fault Line	US
Wardruna	Fehu - Skaldic Version	NO
Xentrix	For Whose Advantage?	GB
Monster Magnet	Ghost Story	US
Pearl Jam	Go (Remastered)	US
Graeme Revell	Inferno	NZ
Lipali	Kumulacja	PL
Mr. Irish Bastard	Livin´La Vida Loca	DE
Pearl Jam	Love Boat Captain	US
Paradise Lost	Medusa	GB
Karma to Burn	Mt. Penetrator	US
Artrosis	Nie zostało nic	PL
Mastodon	Octopus Has No Friends	US
Soen	Orison	SE
Buffalo Fuzz	Perfect Man	US
Mastodon	Quintessence	US
We Hunt Buffalo	RagnarÖk	CA
The White Buffalo	Redemption #2	US
Woods of Ypres	Retrosleep in the Morning Calm	CA
Lethian Dreams	See	FR
Soundgarden	She Likes Surprises	US
Brant Bjork	Smarty Pants	US
Pearl Jam	Smile	US
Neil Finn	Song Of The Lonely Mountain	NZ
Corrosion of Conformity	Stare Too Long	US
Black Label Society	Stillborn	US
Black River	Street Games	PL
Silverchair	Suicidal Dream - Remastered	AU
Alice in Chains	Swing on This	US
Solitude Aeturnus	The 9th Day Awakening	US
Malukah	The Dragonborn Comes - Extended Version	MX
Graveyard	The Fox	SE
We Hunt Buffalo	The Giant's Causeway	CA
Iron Maiden	The Nomad - 2015 Remaster	GB
Serj Tankian	The Unthinking Majority	US
Carter Burwell	Two Such Souls	US
Graveyard	Walk On	SE
Riverside	Wasteland	PL
Queen	We Are The Champions - Live Aid	GB
Stoner Train	We're Riding Low	RU
deadmau5	2448	CA
Pearl Jam	Alive - Brendan O'Brien Mix	US
Getter	All Is Lost	US
Shirobon	Are You Ready	GB
Pearl Jam	Black - Brendan O'Brien Mix	US
Francesca Michielin	Bolivia	IT
Blur	Bugman	GB
Willie Peyote	C'hai ragione Tu	IT
Linea 77	Cielo Piombo (feat. Samuel)	IT
Kreator	Coma of Souls - 2018 - Remaster	DE
Low Roar	Don't Be so Serious	IS
The Handsome Family	Far From Any Road	US
Dungen	Fredag	SE
Opeth	Ghost of Perdition - live	SE
Capo Plaza	Giovane fuoriclasse	IT
Paramore	Ignorance	US
Puscifer	Life of Brian (Apparently You Haven't Seen)	US
Descendents	M-16	US
Machete	MAMMASTOMALE (feat. Salmo) - prod. Dade	PR
Calcutta	Natalios - Live	IT
The Black Dahlia Murder	Nocturnal	US
Justice	On'n'on	FR
Vince Staples	Party People	US
Animals as Leaders	Private Visions Of The World - Live from Salt Lake City	US
Kavinsky	Roadgame	FR
Skrillex	Scary Monsters and Nice Sprites	US
MISSIO	Sing To Me	US
Eddie Vedder	Sleeping By Myself	US
Courtney Barnett	Sunday Roast	AU
Anamanaguchi	Sunset By Plane	US
Opeth	The Garroter	SE
Gemitaiz	Veleno 7	IT
Parcels	Withorwithout	AU
Sfera Ebbasta	XNX	IT
tha Supreme	blun7 a swishland	IT
Hot Chip	Night and Day	GB
Cocteau Twins	Alice	GB
Teen Daze	Autumnal	CA
Teen Daze	Carmel	CA
Japanese Breakfast	Essentially	US
Kamelot	Eternity	US
Within Temptation	Firelight	NL
John Williams	Harry's Wondrous World	US
Sevdaliza	Human Nature	NL
Ed Carlsen	Hundrede Træer	IT
City Girl	Ji-Eun's Sunset	US
Édith Piaf	La vie en rose	FR
Attila	Legend	US
Teddy Pendergrass	Love T.K.O.	US
Karnage	Model 29	FR
Korn	Narcissistic Cannibal (feat. Skrillex & Kill The Noise)	US
Justin Nozuka	Nest	US
Iggy Pop	Pussy Power	US
Clint Mansell	The Last Man	GB
Emika	What's the Cure	GB
U2	Zooropa	IE
Guided by Voices	Office of Hearts	US
The Stone Roses	Where Angels Play	GB
Spiritualized	You Lie You Cheat	GB
Abyssal	Telomeric Erosion	GB
KEN mode	The Illusion Of Dignity	CA
Adele	Hometown Glory	GB
Desmond Cheese	Dope VHS Master	AU
2Cellos	The Resistance	HR
Sonic Youth	Marilyn Moore	US
Frank Ocean	Pink + White	US
Frank Ocean	Seigfried	US
George Clanton	You Lost Me There	US
Mammals	Depraved	AU
Hayley Kiyoko	Sleepover	US
P!nk	Sober	US
Noisia	Dead Limit	NL
Bonobo	Flashlight	GB
Mr. Scruff	Get a Move On!	GB
Wilkinson	Hypnotic	GB
High Contrast	Love On A 45	GB
GentleBeatz	One With The Wind	ZA
The Prodigy	Poison (Remastered)	GB
Eminem	River (feat. Ed Sheeran)	US
Oliver Heldens	Riverside 2099	NL
The Prodigy	Shoot Down	GB
Bajka	The Bellman's Speech	DE
Sub Focus	Trouble	GB
The Barr Brothers	You Would Have to Lose Your Mind	CA
nohidea	entheogen	AT
Kupla	the world was ours	FI
Marteria	Adrenalin	DE
Elderbrook	Bird Song	GB
Ronald Jenkees	Clutter	US
OTR	Dawn - ford. Remix	US
Deichkind	Dinge	DE
múm	Don't Be Afraid, You Have Just Got Your Eyes Closed	IS
Dabrye	Electrocutor	US
Slum Village	Fall In Love - Instrumental	US
Queen	Flash - Single Version	GB
monte booker	Flight	US
Tall Black Guy	From Home, to Work, and Back..	US
Nightmares on Wax	Good Ship	GB
Gilli	Habibi Aiwa	DK
Casper	Hinterland	DE
Dendemann	Ich dende also bin ich - Instrumental	DE
Jascha Hagen	Lovely Dots	DE
Dendemann	Nochn Gedicht	DE
Jax Jones	Play	GB
Bad Snacks	Shiki No Uta	US
Triggerfinger	The One - R.O Remix	BE
Ohmna	The Sun 'Ll Shine - Bali Ambient Mix	NL
Gordon	When the Time Comes	NL
San Holo	self-love	NL
Fatoni	Anders	DE
Beatsteaks	Attack and Decay	DE
Egotronic	Die Angst vor dem Schmerz	DE
Casper	Kontrolle/Schlaf	DE
Von wegen Lisbeth	Lisa	DE
Beatsteaks	No Surprises	DE
Goldroger	Perwoll	DE
Zugezogen Maskulin	Plattenbau O.S.T.	DE
VSK	Schicht im Schacht (Skit)	DE
Two Feet	Your Mother Was Cheaper	US
Johnny Cash	T For Texas	US
BLKLST	Blk.Fm	AU
Anthrax	Bring Tha Noize	US
Beartooth	Burnout	US
Dropkick Murphys	Captain Kelly's Kitchen - Live on Lansdowne, Boston MA	US
Demon Hunter	"Collapsing (Feat. Bjorn ""Speed"" Strid)"	US
Psychostick	Danger Zone	US
For the Fallen Dreams	Deep Down Inside	US
Smash Into Pieces	Disaster Highway	SE
Sick of It All	Disconnect Your Flesh	US
Heaven Shall Burn	Downshifter	DE
Vinnie Paz	End of Days	US
Soilwork	Enemies In Fidelity	SE
War Of Ages	Envy	US
Devour The Day	Faithless	US
While She Sleeps	Fear in Change - Instrumental Demo	GB
Johnny Cash	Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968	US
Authority Zero	For The Kids	US
Iggy Pop	Free	US
Worthwhile	Full Hands, Empty Hearts	US
Vinnie Paz	God's Shadow	US
Hellions	Hellions	AU
Countless Skies	Heroes	GB
Evergreen Terrace	Hopelessly Hopeless	US
The Baseballs	I Don't Feel Like Dancin'	DE
Volbeat	I'm So Lonesome I Could Cry	DK
Non Phixion	If You Got Love	US
Loathe	In Death	GB
Hardcore Superstar	Last Call for Alcohol	SE
Sick of It All	Lifeline	US
Annisokay	Loud	DE
Stray from the Path	Loudest in the Room	US
Have Nots	Louisville Slugger	US
TheFatRat	MAYDAY - Rob Gasser Remix	US
Kissing Candice	Magic Show	US
Soilwork	Mercury Shadow	SE
Madball	Moment Of Truth	US
Old Wounds	Only Your Enemies Leave Roses	US
The Browning	Pathologic	US
Palm Reader	Pedant	GB
Agnostic Front	Politician	US
Blood Command	Quitters Don't Smoke	NO
Twopointeight	Red Eye	SE
Thy Art Is Murder	Reign of Darkness	AU
Ghostface Killah	Rise of the Ghostface Killah	US
Millencolin	SOS	SE
Street Dogs	Savin Hill	US
Johnny Cash	Sixteen Tons	US
Night Verses	Strange Graves	US
Periphery	Stranger Things	US
The Haunted	Strength in Numbers	SE
Polaris	Summit - Bonus Track	JP
Ice Cube	Super OG (Intro)	US
Miles Away	Terra Incognita	AU
Slipknot	The Blister Exists - Live at MSG 2009	US
To The Wind	The Brighter View	US
Stray from the Path	The House Always Wins (feat. Vinnie Paz)	US
Madball	Tight Rope	US
Mnemic	Transcend	DK
Johnny Cash	Unchained	US
Johnny Cash	Wayfaring Stranger	US
A Day to Remember	Welcome to the Family	US
Sum 41	With Me	CA
Raised Fist	Words And Phrases	SE
Johnny Cash	Wreck of the Old 97 - Live at Madison Square Garden, New York, NY - December 1969	US
Senses Fail	You're Cute When You Scream	US
Beartooth	Young	US
Foals	Electric Bloom	GB
Radiohead	Killer Cars (Live)	GB
Fleet Foxes	Meadowlarks	US
Parkway Drive	Horizons	AU
Shallou	All Your Days	US
The Magnetic Fields	All the Umbrellas in London	US
Hippo Campus	Baby - Recorded at Spotify Studios NYC	US
Ra Ra Riot	Belladonna	US
Leon Bridges	Beyond	US
Andrew Bird	Bloodless	US
lunar vacation	Blue Honey	US
Marissa Nadler	Blue Vapor	US
Phantom Planet	California - Tchad Blake Mix	US
Sea Wolf	Cedarsmoke	US
CupcakKe	Cinnamon Toast Crunch	US
Panda Bear	Dolphin	US
Dirty Heads	Don't Let Me Down - Recorded at Spotify Studios NYC	US
Blur	End of a Century - 2012 Remastered Version	GB
Jonny Nash	Exit Seven	NL
Memba	Flash	US
Rubblebucket	Fruity	US
Guided by Voices	Game of Pricks	US
Rosie Tucker	Gay Bar	US
Tuvaband	Horses	NO
DIIV	How Long Have You Known	US
Duran Duran	Hungry Like the Wolf - 2009 Remaster	GB
Good Posture	Italy	FR
Chief.	Jane	CA
Paolo Nutini	Last Request	GB
Radiohead	Lift	GB
Joy Crookes	London Mine	GB
Sara Bareilles	Love Song	US
TOKiMONSTA	Love That Never	US
Florist	M	US
Metric	Monster Hospital	CA
Grizzly Bear	Mourning Sound - Recorded at Spotify Studios NYC	US
Vallis Alps	New Slang (triple j Like A Version)	AU
